Yer,Puan,Şehir,KullanıcıSayısı,Kategori,Mevsim
Gezilecek Yer 13704,3.5,Adana,8946,Tarihi Yer,Yaz
Gezilecek Yer 13705,4.2,Ankara,3847,Restoran,Bahar
Gezilecek Yer 13706,4.5,Konya,38740,Tarihi Yer,Bahar
Gezilecek Yer 13707,4.4,İstanbul,39590,Müze,Sonbahar
Gezilecek Yer 13708,4.2,Konya,46207,Müze,Kış
Gezilecek Yer 13709,4.2,Trabzon,46367,Plaj,Kış
Gezilecek Yer 13710,4.7,Ankara,41553,Müze,Bahar
Gezilecek Yer 13711,4.0,Muğla,49728,Tarihi Yer,Bahar
Gezilecek Yer 13712,3.6,İzmir,31007,Plaj,Bahar
Gezilecek Yer 13713,4.3,Trabzon,19254,Tarihi Yer,Bahar
Gezilecek Yer 13714,3.8,Bodrum,44977,Plaj,Bahar
Gezilecek Yer 13715,4.7,Konya,12269,Restoran,Bahar
Gezilecek Yer 13716,4.1,Bursa,34862,Park,Sonbahar
Gezilecek Yer 13717,4.3,İzmir,49389,Restoran,Bahar
Gezilecek Yer 13718,4.3,Konya,3085,Park,Bahar
Gezilecek Yer 13719,4.3,Konya,47317,Tarihi Yer,Kış
Gezilecek Yer 13720,3.6,Adana,33580,Plaj,Sonbahar
Gezilecek Yer 13721,4.1,İzmir,55691,Plaj,Sonbahar
Gezilecek Yer 13722,4.6,İzmir,34850,Tarihi Yer,Kış
Gezilecek Yer 13723,4.5,Bursa,20771,Restoran,Sonbahar
Gezilecek Yer 13724,4.4,Adana,58579,Müze,Kış
Gezilecek Yer 13725,3.7,Ankara,18858,Park,Kış
Gezilecek Yer 13726,3.9,Ankara,8264,Park,Sonbahar
Gezilecek Yer 13727,4.8,Bodrum,9891,Restoran,Bahar
Gezilecek Yer 13728,4.9,Bursa,1548,Restoran,Yaz
Gezilecek Yer 13729,3.7,Konya,19353,Tarihi Yer,Bahar
Gezilecek Yer 13730,4.1,Bursa,46125,Park,Sonbahar
Gezilecek Yer 13731,4.3,Antalya,56016,Müze,Yaz
Gezilecek Yer 13732,3.9,Bursa,4690,Müze,Sonbahar
Gezilecek Yer 13733,3.7,Bodrum,32707,Müze,Bahar
Gezilecek Yer 13734,4.5,Bursa,46662,Müze,Yaz
Gezilecek Yer 13735,3.9,Bursa,35491,Plaj,Kış
Gezilecek Yer 13736,4.8,Konya,53425,Tarihi Yer,Bahar
Gezilecek Yer 13737,4.7,Bursa,1721,Tarihi Yer,Bahar
Gezilecek Yer 13738,4.9,İzmir,27252,Tarihi Yer,Kış
Gezilecek Yer 13739,4.2,Adana,49833,Park,Sonbahar
Gezilecek Yer 13740,4.3,Trabzon,7595,Restoran,Bahar
Gezilecek Yer 13741,3.6,Trabzon,7310,Tarihi Yer,Sonbahar
Gezilecek Yer 13742,4.2,Bursa,3040,Restoran,Bahar
Gezilecek Yer 13743,4.1,Bursa,45748,Restoran,Bahar
Gezilecek Yer 13744,4.6,İstanbul,11710,Restoran,Kış
Gezilecek Yer 13745,4.3,Trabzon,47144,Tarihi Yer,Sonbahar
Gezilecek Yer 13746,5.0,İzmir,49596,Plaj,Yaz
Gezilecek Yer 13747,3.8,Antalya,56509,Park,Sonbahar
Gezilecek Yer 13748,4.7,Konya,57759,Tarihi Yer,Kış
Gezilecek Yer 13749,4.2,Antalya,53925,Tarihi Yer,Kış
Gezilecek Yer 13750,4.1,Antalya,34454,Tarihi Yer,Bahar
Gezilecek Yer 13751,3.9,Bodrum,23642,Plaj,Yaz
Gezilecek Yer 13752,3.6,Adana,44576,Park,Yaz
Gezilecek Yer 13753,4.7,Bursa,13849,Tarihi Yer,Kış
Gezilecek Yer 13754,4.8,Ankara,2395,Restoran,Yaz
Gezilecek Yer 13755,3.9,Konya,29107,Park,Kış
Gezilecek Yer 13756,4.3,İzmir,1153,Park,Yaz
Gezilecek Yer 13757,4.9,Ankara,1734,Restoran,Sonbahar
Gezilecek Yer 13758,4.0,Ankara,12465,Müze,Yaz
Gezilecek Yer 13759,4.4,Muğla,8537,Tarihi Yer,Sonbahar
Gezilecek Yer 13760,3.6,Ankara,16227,Plaj,Kış
Gezilecek Yer 13761,3.8,Trabzon,11243,Plaj,Sonbahar
Gezilecek Yer 13762,3.9,Bursa,58169,Park,Bahar
Gezilecek Yer 13763,4.0,Bodrum,46135,Tarihi Yer,Sonbahar
Gezilecek Yer 13764,3.7,Bodrum,45170,Plaj,Sonbahar
Gezilecek Yer 13765,4.2,İstanbul,48914,Tarihi Yer,Yaz
Gezilecek Yer 13766,4.4,Bursa,21555,Tarihi Yer,Yaz
Gezilecek Yer 13767,3.7,Muğla,36183,Restoran,Yaz
Gezilecek Yer 13768,4.1,Antalya,5761,Park,Yaz
Gezilecek Yer 13769,3.8,Ankara,45548,Restoran,Yaz
Gezilecek Yer 13770,4.0,Trabzon,31958,Müze,Yaz
Gezilecek Yer 13771,4.0,Bodrum,15774,Plaj,Yaz
Gezilecek Yer 13772,4.1,Adana,23805,Müze,Yaz
Gezilecek Yer 13773,4.3,İstanbul,36504,Müze,Kış
Gezilecek Yer 13774,4.2,Bursa,58637,Plaj,Yaz
Gezilecek Yer 13775,4.9,Antalya,16989,Park,Bahar
Gezilecek Yer 13776,3.7,İzmir,2108,Park,Sonbahar
Gezilecek Yer 13777,3.6,Antalya,29812,Restoran,Kış
Gezilecek Yer 13778,4.7,İzmir,53967,Plaj,Sonbahar
Gezilecek Yer 13779,4.9,Ankara,57701,Plaj,Kış
Gezilecek Yer 13780,3.7,Antalya,2798,Tarihi Yer,Bahar
Gezilecek Yer 13781,4.9,İstanbul,22080,Müze,Sonbahar
Gezilecek Yer 13782,3.8,Trabzon,51844,Plaj,Yaz
Gezilecek Yer 13783,5.0,Antalya,31630,Restoran,Bahar
Gezilecek Yer 13784,4.7,İstanbul,23368,Restoran,Bahar
Gezilecek Yer 13785,4.6,Konya,31182,Tarihi Yer,Bahar
Gezilecek Yer 13786,4.2,Bodrum,9166,Plaj,Yaz
Gezilecek Yer 13787,4.5,Bursa,49781,Müze,Sonbahar
Gezilecek Yer 13788,3.9,Adana,35938,Restoran,Sonbahar
Gezilecek Yer 13789,4.1,İstanbul,10067,Müze,Bahar
Gezilecek Yer 13790,3.8,Bursa,45275,Plaj,Yaz
Gezilecek Yer 13791,3.8,İzmir,34031,Müze,Sonbahar
Gezilecek Yer 13792,3.6,Bursa,50078,Tarihi Yer,Yaz
Gezilecek Yer 13793,4.3,İzmir,12489,Restoran,Yaz
Gezilecek Yer 13794,3.7,Trabzon,6346,Müze,Kış
Gezilecek Yer 13795,4.1,Muğla,56058,Müze,Bahar
Gezilecek Yer 13796,4.0,Antalya,2627,Park,Bahar
Gezilecek Yer 13797,3.8,Trabzon,18057,Müze,Kış
Gezilecek Yer 13798,4.9,Trabzon,19812,Plaj,Bahar
Gezilecek Yer 13799,3.7,İstanbul,41955,Plaj,Bahar
Gezilecek Yer 13800,3.9,Konya,34478,Tarihi Yer,Bahar
Gezilecek Yer 13801,4.9,Bursa,50779,Restoran,Yaz
Gezilecek Yer 13802,4.2,Konya,44062,Tarihi Yer,Yaz
Gezilecek Yer 13803,4.2,Antalya,23684,Müze,Sonbahar
Gezilecek Yer 13804,3.9,Bursa,10056,Müze,Bahar
Gezilecek Yer 13805,4.6,İzmir,11055,Plaj,Sonbahar
Gezilecek Yer 13806,4.6,İstanbul,56340,Müze,Kış
Gezilecek Yer 13807,4.4,Antalya,2760,Park,Bahar
Gezilecek Yer 13808,4.2,Adana,43179,Tarihi Yer,Yaz
Gezilecek Yer 13809,4.7,Muğla,59313,Park,Kış
Gezilecek Yer 13810,3.7,Konya,7028,Restoran,Sonbahar
Gezilecek Yer 13811,4.3,Adana,7220,Park,Yaz
Gezilecek Yer 13812,4.0,Muğla,873,Tarihi Yer,Sonbahar
Gezilecek Yer 13813,4.9,İstanbul,39640,Müze,Bahar
Gezilecek Yer 13814,4.8,Bursa,31818,Park,Bahar
Gezilecek Yer 13815,3.8,Bursa,10552,Park,Sonbahar
Gezilecek Yer 13816,4.7,Trabzon,19762,Müze,Yaz
Gezilecek Yer 13817,4.2,Bodrum,33259,Park,Yaz
Gezilecek Yer 13818,3.8,Bodrum,1458,Park,Sonbahar
Gezilecek Yer 13819,4.1,Adana,30692,Müze,Kış
Gezilecek Yer 13820,3.8,İstanbul,31664,Plaj,Kış
Gezilecek Yer 13821,3.9,İstanbul,35169,Plaj,Kış
Gezilecek Yer 13822,3.9,Ankara,22019,Restoran,Bahar
Gezilecek Yer 13823,4.6,Bursa,35566,Park,Kış
Gezilecek Yer 13824,5.0,İzmir,57867,Müze,Kış
Gezilecek Yer 13825,3.6,İstanbul,18220,Park,Bahar
Gezilecek Yer 13826,4.5,Konya,23517,Park,Kış
Gezilecek Yer 13827,3.8,Adana,12882,Plaj,Bahar
Gezilecek Yer 13828,4.9,Bursa,25379,Tarihi Yer,Yaz
Gezilecek Yer 13829,3.8,Konya,57608,Plaj,Kış
Gezilecek Yer 13830,4.8,İstanbul,49468,Müze,Sonbahar
Gezilecek Yer 13831,3.6,İstanbul,33433,Park,Kış
Gezilecek Yer 13832,4.7,Antalya,3331,Müze,Sonbahar
Gezilecek Yer 13833,4.4,Ankara,22322,Restoran,Bahar
Gezilecek Yer 13834,3.7,Konya,53096,Park,Kış
Gezilecek Yer 13835,4.0,İzmir,48219,Plaj,Kış
Gezilecek Yer 13836,3.8,Konya,32600,Tarihi Yer,Yaz
Gezilecek Yer 13837,4.2,Antalya,13843,Restoran,Kış
Gezilecek Yer 13838,4.9,İstanbul,12603,Restoran,Sonbahar
Gezilecek Yer 13839,4.9,Adana,3956,Restoran,Sonbahar
Gezilecek Yer 13840,4.8,İstanbul,7590,Tarihi Yer,Bahar
Gezilecek Yer 13841,4.6,Konya,4942,Müze,Yaz
Gezilecek Yer 13842,4.8,Trabzon,12963,Müze,Yaz
Gezilecek Yer 13843,4.8,Bursa,21980,Restoran,Sonbahar
Gezilecek Yer 13844,4.3,Adana,3539,Müze,Yaz
Gezilecek Yer 13845,3.5,Adana,16467,Plaj,Yaz
Gezilecek Yer 13846,3.7,Adana,57713,Park,Kış
Gezilecek Yer 13847,4.5,Bursa,14585,Park,Yaz
Gezilecek Yer 13848,3.5,Trabzon,31132,Park,Kış
Gezilecek Yer 13849,4.1,Adana,58300,Müze,Sonbahar
Gezilecek Yer 13850,4.8,Antalya,41406,Restoran,Bahar
Gezilecek Yer 13851,3.9,Adana,43517,Müze,Yaz
Gezilecek Yer 13852,4.7,Bodrum,32837,Plaj,Kış
Gezilecek Yer 13853,4.2,Bursa,20663,Restoran,Bahar
Gezilecek Yer 13854,3.7,İzmir,29772,Plaj,Sonbahar
Gezilecek Yer 13855,4.3,Bodrum,56661,Müze,Sonbahar
Gezilecek Yer 13856,4.3,Antalya,56129,Park,Kış
Gezilecek Yer 13857,4.5,Antalya,20795,Park,Bahar
Gezilecek Yer 13858,3.7,Antalya,10232,Plaj,Bahar
Gezilecek Yer 13859,4.9,Muğla,11153,Park,Kış
Gezilecek Yer 13860,4.6,Ankara,19110,Tarihi Yer,Kış
Gezilecek Yer 13861,4.9,Antalya,11521,Plaj,Bahar
Gezilecek Yer 13862,4.7,Bodrum,34898,Tarihi Yer,Sonbahar
Gezilecek Yer 13863,4.0,Konya,26819,Park,Sonbahar
Gezilecek Yer 13864,5.0,Ankara,21122,Plaj,Sonbahar
Gezilecek Yer 13865,4.3,Muğla,28803,Müze,Yaz
Gezilecek Yer 13866,4.3,İzmir,14737,Restoran,Sonbahar
Gezilecek Yer 13867,4.4,Antalya,11560,Müze,Kış
Gezilecek Yer 13868,4.4,Bodrum,28837,Plaj,Yaz
Gezilecek Yer 13869,4.4,Antalya,33938,Tarihi Yer,Kış
Gezilecek Yer 13870,4.2,İzmir,31464,Müze,Kış
Gezilecek Yer 13871,4.5,Adana,56464,Müze,Kış
Gezilecek Yer 13872,4.4,İzmir,33939,Park,Kış
Gezilecek Yer 13873,4.3,Adana,57384,Plaj,Bahar
Gezilecek Yer 13874,3.7,İstanbul,55169,Plaj,Bahar
Gezilecek Yer 13875,4.5,Antalya,51445,Park,Kış
Gezilecek Yer 13876,3.7,Bodrum,43946,Müze,Bahar
Gezilecek Yer 13877,4.1,Konya,21499,Plaj,Sonbahar
Gezilecek Yer 13878,3.5,Antalya,21205,Müze,Sonbahar
Gezilecek Yer 13879,4.3,İstanbul,35808,Park,Bahar
Gezilecek Yer 13880,3.6,Ankara,566,Restoran,Kış
Gezilecek Yer 13881,4.5,İzmir,54559,Plaj,Kış
Gezilecek Yer 13882,4.4,Konya,52961,Restoran,Kış
Gezilecek Yer 13883,4.1,İzmir,14174,Müze,Bahar
Gezilecek Yer 13884,3.6,İzmir,41628,Müze,Sonbahar
Gezilecek Yer 13885,3.8,Trabzon,42518,Plaj,Yaz
Gezilecek Yer 13886,3.9,Adana,36955,Park,Kış
Gezilecek Yer 13887,3.8,Konya,10608,Müze,Kış
Gezilecek Yer 13888,3.8,İstanbul,59667,Tarihi Yer,Bahar
Gezilecek Yer 13889,3.7,Bodrum,51244,Müze,Kış
Gezilecek Yer 13890,4.5,Adana,12374,Park,Bahar
Gezilecek Yer 13891,4.9,Konya,51404,Müze,Yaz
Gezilecek Yer 13892,4.6,Antalya,54181,Plaj,Yaz
Gezilecek Yer 13893,4.4,Bodrum,8612,Park,Bahar
Gezilecek Yer 13894,4.9,Adana,52635,Park,Sonbahar
Gezilecek Yer 13895,4.4,İzmir,38708,Restoran,Bahar
Gezilecek Yer 13896,4.0,Bursa,48816,Plaj,Bahar
Gezilecek Yer 13897,3.8,Antalya,9478,Park,Bahar
Gezilecek Yer 13898,4.7,Adana,15843,Plaj,Bahar
Gezilecek Yer 13899,4.2,Muğla,34122,Plaj,Bahar
Gezilecek Yer 13900,4.4,Muğla,18103,Restoran,Sonbahar
Gezilecek Yer 13901,3.5,Muğla,17835,Restoran,Yaz
Gezilecek Yer 13902,4.5,Muğla,41594,Tarihi Yer,Bahar
Gezilecek Yer 13903,3.9,Bursa,48077,Restoran,Kış
Gezilecek Yer 13904,4.0,Antalya,55286,Müze,Kış
Gezilecek Yer 13905,4.0,Bodrum,18566,Park,Kış
Gezilecek Yer 13906,3.6,Trabzon,56277,Müze,Yaz
Gezilecek Yer 13907,4.7,Bodrum,4944,Müze,Bahar
Gezilecek Yer 13908,3.8,İzmir,53733,Restoran,Kış
Gezilecek Yer 13909,3.8,Ankara,48804,Tarihi Yer,Sonbahar
Gezilecek Yer 13910,4.3,İzmir,48684,Müze,Bahar
Gezilecek Yer 13911,4.1,Bursa,15446,Müze,Yaz
Gezilecek Yer 13912,4.8,Muğla,6138,Restoran,Kış
Gezilecek Yer 13913,4.6,Antalya,27438,Plaj,Yaz
Gezilecek Yer 13914,4.0,Konya,45819,Tarihi Yer,Yaz
Gezilecek Yer 13915,3.6,Trabzon,49799,Park,Sonbahar
Gezilecek Yer 13916,3.9,İzmir,49068,Plaj,Kış
Gezilecek Yer 13917,3.6,Konya,17062,Müze,Kış
Gezilecek Yer 13918,4.5,Konya,59473,Park,Kış
Gezilecek Yer 13919,3.7,Adana,4246,Plaj,Yaz
Gezilecek Yer 13920,3.5,İzmir,8294,Tarihi Yer,Bahar
Gezilecek Yer 13921,3.6,Bursa,10412,Restoran,Sonbahar
Gezilecek Yer 13922,4.2,Trabzon,55861,Park,Kış
Gezilecek Yer 13923,3.6,Bursa,18654,Park,Kış
Gezilecek Yer 13924,4.0,Konya,59837,Plaj,Yaz
Gezilecek Yer 13925,3.8,Konya,3096,Tarihi Yer,Kış
Gezilecek Yer 13926,4.3,Konya,17639,Tarihi Yer,Bahar
Gezilecek Yer 13927,4.8,Bodrum,20499,Müze,Kış
Gezilecek Yer 13928,3.6,Bursa,59648,Müze,Bahar
Gezilecek Yer 13929,3.5,Adana,27997,Tarihi Yer,Bahar
Gezilecek Yer 13930,4.4,Bodrum,16473,Park,Yaz
Gezilecek Yer 13931,3.9,İstanbul,19334,Tarihi Yer,Yaz
Gezilecek Yer 13932,4.2,İzmir,22893,Plaj,Bahar
Gezilecek Yer 13933,4.6,Konya,1844,Park,Kış
Gezilecek Yer 13934,4.9,Bursa,53834,Restoran,Bahar
Gezilecek Yer 13935,4.1,Trabzon,46460,Park,Kış
Gezilecek Yer 13936,4.1,Trabzon,20952,Restoran,Kış
Gezilecek Yer 13937,3.9,İstanbul,54535,Müze,Yaz
Gezilecek Yer 13938,4.5,Bursa,22753,Tarihi Yer,Kış
Gezilecek Yer 13939,5.0,Antalya,2506,Plaj,Bahar
Gezilecek Yer 13940,3.6,Antalya,10242,Restoran,Sonbahar
Gezilecek Yer 13941,4.7,İzmir,59976,Müze,Yaz
Gezilecek Yer 13942,4.1,Bursa,35370,Restoran,Kış
Gezilecek Yer 13943,4.5,Ankara,54218,Park,Yaz
Gezilecek Yer 13944,3.7,Muğla,39363,Park,Kış
Gezilecek Yer 13945,4.7,Bursa,57984,Müze,Sonbahar
Gezilecek Yer 13946,5.0,Muğla,42842,Müze,Bahar
Gezilecek Yer 13947,4.2,İzmir,27916,Restoran,Yaz
Gezilecek Yer 13948,4.7,Muğla,31771,Tarihi Yer,Kış
Gezilecek Yer 13949,4.5,Antalya,22967,Restoran,Sonbahar
Gezilecek Yer 13950,4.4,Konya,8599,Park,Kış
Gezilecek Yer 13951,4.2,Bodrum,19325,Park,Bahar
Gezilecek Yer 13952,4.8,Ankara,18987,Plaj,Yaz
Gezilecek Yer 13953,4.1,Konya,31452,Müze,Sonbahar
Gezilecek Yer 13954,3.8,Adana,50959,Park,Sonbahar
Gezilecek Yer 13955,4.1,Konya,56405,Restoran,Kış
Gezilecek Yer 13956,4.8,Trabzon,41013,Restoran,Yaz
Gezilecek Yer 13957,3.6,Bursa,2600,Tarihi Yer,Sonbahar
Gezilecek Yer 13958,4.8,Adana,45233,Tarihi Yer,Bahar
Gezilecek Yer 13959,3.5,Adana,34103,Restoran,Sonbahar
Gezilecek Yer 13960,4.9,Bodrum,10666,Park,Yaz
Gezilecek Yer 13961,4.2,Bursa,56704,Plaj,Bahar
Gezilecek Yer 13962,3.8,Trabzon,56757,Plaj,Yaz
Gezilecek Yer 13963,4.5,Adana,37722,Restoran,Bahar
Gezilecek Yer 13964,4.5,Bodrum,2203,Plaj,Kış
Gezilecek Yer 13965,4.8,Antalya,746,Tarihi Yer,Bahar
Gezilecek Yer 13966,4.2,İstanbul,43601,Restoran,Kış
Gezilecek Yer 13967,3.7,Adana,20177,Plaj,Bahar
Gezilecek Yer 13968,3.9,İstanbul,46280,Tarihi Yer,Sonbahar
Gezilecek Yer 13969,4.2,Muğla,5894,Restoran,Kış
Gezilecek Yer 13970,3.6,Adana,48423,Plaj,Bahar
Gezilecek Yer 13971,3.6,Bodrum,54285,Restoran,Bahar
Gezilecek Yer 13972,4.0,Bodrum,18018,Plaj,Sonbahar
Gezilecek Yer 13973,4.6,Trabzon,52713,Tarihi Yer,Bahar
Gezilecek Yer 13974,4.4,Bursa,12339,Müze,Kış
Gezilecek Yer 13975,4.9,Bursa,37282,Park,Sonbahar
Gezilecek Yer 13976,4.3,Ankara,52567,Park,Kış
Gezilecek Yer 13977,4.2,İzmir,2637,Plaj,Kış
Gezilecek Yer 13978,4.8,İzmir,21148,Park,Kış
Gezilecek Yer 13979,3.7,Bursa,2713,Restoran,Bahar
Gezilecek Yer 13980,4.2,İstanbul,46101,Tarihi Yer,Kış
Gezilecek Yer 13981,3.8,Bursa,11061,Restoran,Yaz
Gezilecek Yer 13982,4.4,Adana,38364,Müze,Kış
Gezilecek Yer 13983,4.5,Ankara,38838,Plaj,Kış
Gezilecek Yer 13984,3.9,Trabzon,9985,Park,Yaz
Gezilecek Yer 13985,4.6,Bodrum,46647,Müze,Bahar
Gezilecek Yer 13986,3.5,İstanbul,58568,Park,Kış
Gezilecek Yer 13987,3.5,Muğla,23103,Plaj,Bahar
Gezilecek Yer 13988,4.0,İzmir,3636,Plaj,Sonbahar
Gezilecek Yer 13989,4.2,Trabzon,52238,Restoran,Sonbahar
Gezilecek Yer 13990,4.4,Konya,12213,Restoran,Bahar
Gezilecek Yer 13991,4.0,Konya,23437,Restoran,Kış
Gezilecek Yer 13992,4.4,Muğla,39351,Plaj,Yaz
Gezilecek Yer 13993,4.9,Ankara,56978,Restoran,Kış
Gezilecek Yer 13994,4.8,Bursa,55657,Restoran,Kış
Gezilecek Yer 13995,4.5,Trabzon,46719,Park,Kış
Gezilecek Yer 13996,5.0,Ankara,59282,Restoran,Kış
Gezilecek Yer 13997,4.8,Trabzon,11199,Tarihi Yer,Sonbahar
Gezilecek Yer 13998,4.6,Bodrum,1223,Restoran,Yaz
Gezilecek Yer 13999,3.6,Konya,31649,Restoran,Kış
Gezilecek Yer 14000,4.5,Bursa,8401,Plaj,Yaz
Gezilecek Yer 14001,4.7,Ankara,475,Restoran,Kış
Gezilecek Yer 14002,3.7,Konya,50255,Restoran,Sonbahar
Gezilecek Yer 14003,4.0,Konya,41795,Plaj,Kış
Gezilecek Yer 14004,4.4,Bodrum,44190,Müze,Sonbahar
Gezilecek Yer 14005,3.6,Trabzon,48555,Plaj,Bahar
Gezilecek Yer 14006,4.1,Antalya,25507,Park,Sonbahar
Gezilecek Yer 14007,4.2,İzmir,1625,Müze,Yaz
Gezilecek Yer 14008,4.2,Konya,46016,Müze,Bahar
Gezilecek Yer 14009,4.3,Muğla,58325,Tarihi Yer,Kış
Gezilecek Yer 14010,3.9,Bursa,44332,Tarihi Yer,Sonbahar
Gezilecek Yer 14011,3.9,İzmir,45961,Restoran,Yaz
Gezilecek Yer 14012,3.7,Antalya,40472,Park,Bahar
Gezilecek Yer 14013,4.9,Konya,55237,Park,Kış
Gezilecek Yer 14014,4.8,Trabzon,12174,Park,Kış
Gezilecek Yer 14015,5.0,Konya,2165,Müze,Bahar
Gezilecek Yer 14016,3.7,İstanbul,10964,Park,Kış
Gezilecek Yer 14017,4.4,Ankara,47356,Park,Sonbahar
Gezilecek Yer 14018,3.8,Antalya,26952,Tarihi Yer,Kış
Gezilecek Yer 14019,4.2,Konya,20555,Plaj,Bahar
Gezilecek Yer 14020,3.9,Konya,24723,Restoran,Bahar
Gezilecek Yer 14021,4.6,Bursa,46663,Tarihi Yer,Bahar
Gezilecek Yer 14022,5.0,Bursa,15773,Tarihi Yer,Yaz
Gezilecek Yer 14023,4.4,Konya,38029,Müze,Sonbahar
Gezilecek Yer 14024,4.4,Trabzon,19874,Park,Kış
Gezilecek Yer 14025,3.8,Bodrum,22225,Restoran,Sonbahar
Gezilecek Yer 14026,4.7,İstanbul,22617,Park,Sonbahar
Gezilecek Yer 14027,4.6,İstanbul,58731,Restoran,Kış
Gezilecek Yer 14028,3.8,Bursa,14166,Müze,Sonbahar
Gezilecek Yer 14029,4.5,Antalya,59336,Plaj,Kış
Gezilecek Yer 14030,3.9,Antalya,12404,Restoran,Sonbahar
Gezilecek Yer 14031,4.3,İstanbul,57334,Restoran,Kış
Gezilecek Yer 14032,4.0,İstanbul,56870,Tarihi Yer,Yaz
Gezilecek Yer 14033,3.8,Bursa,48794,Müze,Sonbahar
Gezilecek Yer 14034,4.7,İzmir,25920,Park,Sonbahar
Gezilecek Yer 14035,3.6,Adana,6404,Müze,Kış
Gezilecek Yer 14036,4.0,İzmir,44607,Restoran,Sonbahar
Gezilecek Yer 14037,3.7,Antalya,32811,Restoran,Sonbahar
Gezilecek Yer 14038,4.5,İstanbul,24943,Plaj,Bahar
Gezilecek Yer 14039,4.0,Bodrum,41797,Restoran,Yaz
Gezilecek Yer 14040,4.3,İzmir,35808,Park,Bahar
Gezilecek Yer 14041,4.1,Adana,55738,Tarihi Yer,Sonbahar
Gezilecek Yer 14042,3.7,Antalya,46122,Müze,Kış
Gezilecek Yer 14043,4.3,Ankara,25578,Tarihi Yer,Yaz
Gezilecek Yer 14044,4.8,Muğla,23369,Plaj,Kış
Gezilecek Yer 14045,4.1,Ankara,10485,Park,Kış
Gezilecek Yer 14046,3.5,Antalya,44802,Tarihi Yer,Kış
Gezilecek Yer 14047,3.6,Konya,10665,Tarihi Yer,Kış
Gezilecek Yer 14048,4.3,Bursa,53518,Tarihi Yer,Sonbahar
Gezilecek Yer 14049,3.7,İstanbul,42751,Plaj,Yaz
Gezilecek Yer 14050,4.2,Bodrum,54916,Müze,Yaz
Gezilecek Yer 14051,4.3,İzmir,51505,Park,Kış
Gezilecek Yer 14052,4.5,Konya,30881,Müze,Bahar
Gezilecek Yer 14053,5.0,Bodrum,49638,Restoran,Kış
Gezilecek Yer 14054,4.9,Bursa,34983,Park,Yaz
Gezilecek Yer 14055,4.4,Konya,44267,Restoran,Yaz
Gezilecek Yer 14056,3.9,Adana,1158,Plaj,Sonbahar
Gezilecek Yer 14057,4.2,Trabzon,12723,Park,Kış
Gezilecek Yer 14058,4.9,Antalya,32956,Plaj,Kış
Gezilecek Yer 14059,4.9,Bursa,40814,Restoran,Bahar
Gezilecek Yer 14060,3.7,Adana,8886,Plaj,Yaz
Gezilecek Yer 14061,4.3,Bodrum,46468,Restoran,Bahar
Gezilecek Yer 14062,3.8,Muğla,47243,Müze,Yaz
Gezilecek Yer 14063,4.2,Muğla,54507,Müze,Bahar
Gezilecek Yer 14064,4.6,Konya,40459,Plaj,Bahar
Gezilecek Yer 14065,4.0,Bodrum,42390,Müze,Yaz
Gezilecek Yer 14066,3.8,Trabzon,26442,Plaj,Yaz
Gezilecek Yer 14067,4.5,Bursa,41727,Tarihi Yer,Kış
Gezilecek Yer 14068,3.8,Trabzon,30370,Park,Sonbahar
Gezilecek Yer 14069,4.7,İzmir,43063,Müze,Sonbahar
Gezilecek Yer 14070,3.7,Muğla,11827,Tarihi Yer,Sonbahar
Gezilecek Yer 14071,3.8,Muğla,29410,Plaj,Yaz
Gezilecek Yer 14072,4.9,Bursa,57010,Restoran,Yaz
Gezilecek Yer 14073,3.8,İzmir,42970,Park,Sonbahar
Gezilecek Yer 14074,3.7,Ankara,27277,Tarihi Yer,Kış
Gezilecek Yer 14075,3.9,Trabzon,15672,Park,Bahar
Gezilecek Yer 14076,4.4,Bursa,18562,Restoran,Yaz
Gezilecek Yer 14077,3.6,Antalya,47615,Restoran,Yaz
Gezilecek Yer 14078,3.7,Ankara,14171,Restoran,Sonbahar
Gezilecek Yer 14079,4.5,Adana,33379,Müze,Bahar
Gezilecek Yer 14080,3.7,Bodrum,22953,Tarihi Yer,Sonbahar
Gezilecek Yer 14081,4.7,Konya,6039,Park,Bahar
Gezilecek Yer 14082,4.2,İstanbul,50552,Park,Kış
Gezilecek Yer 14083,4.7,Bursa,5962,Müze,Yaz
Gezilecek Yer 14084,3.7,İstanbul,14391,Park,Yaz
Gezilecek Yer 14085,3.7,Trabzon,17902,Tarihi Yer,Sonbahar
Gezilecek Yer 14086,4.5,Trabzon,58733,Plaj,Kış
Gezilecek Yer 14087,3.6,Adana,5637,Müze,Sonbahar
Gezilecek Yer 14088,4.5,Ankara,34283,Park,Bahar
Gezilecek Yer 14089,4.8,Adana,8796,Restoran,Sonbahar
Gezilecek Yer 14090,4.0,Antalya,46354,Plaj,Yaz
Gezilecek Yer 14091,4.6,İstanbul,36260,Park,Kış
Gezilecek Yer 14092,4.4,Bodrum,32239,Plaj,Sonbahar
Gezilecek Yer 14093,4.7,Konya,15199,Tarihi Yer,Sonbahar
Gezilecek Yer 14094,3.7,Trabzon,38023,Restoran,Bahar
Gezilecek Yer 14095,4.6,İzmir,17109,Park,Sonbahar
Gezilecek Yer 14096,3.8,İstanbul,18635,Müze,Bahar
Gezilecek Yer 14097,4.0,Ankara,40517,Park,Kış
Gezilecek Yer 14098,4.8,Konya,35362,Müze,Bahar
Gezilecek Yer 14099,4.9,Bodrum,51726,Plaj,Kış
